domain,seed_tag,split_regime,layer,knn_k,knn_bucket,used_component_bridging,distortion_delta_observed_minus_null_degree_preserving_geodesic_rewire,distortion_delta_observed_minus_null_quantile_constrained_geodesic_rewire,h1_delta_observed_minus_null_degree_preserving_geodesic_rewire,h1_delta_observed_minus_null_quantile_constrained_geodesic_rewire,h1_delta_shift_constrained_minus_unconstrained,distortion_delta_shift_constrained_minus_unconstrained
immune,seed43,target_disjoint,8,33,k_gt_30,False,0.6141028820434615,0.6126980135443514,-12.109608554840086,-18.503087329864503,-6.393478775024416,-0.0014048684991101457
immune,seed43,target_disjoint,9,40,k_gt_30,False,-0.021096067681827035,-0.030379763747638178,-16.399722385406495,-17.317144012451173,-0.9174216270446784,-0.009283696065811142
immune,seed43,target_disjoint,10,38,k_gt_30,False,-0.037083339268216275,-0.03814744883310317,-17.321692943572998,-24.538737869262697,-7.217044925689699,-0.0010641095648868948
immune,seed43,target_disjoint,11,40,k_gt_30,True,0.20880863719718135,0.21108426964257943,-8.844842147827148,-8.917807960510254,-0.07296581268310653,0.002275632445398079
immune,seed44,source_disjoint,0,40,k_gt_30,True,0.35245581935309267,0.3520517461022068,-13.04065365791321,-13.334281110763548,-0.29362745285033753,-0.0004040732508858724
immune,seed44,source_disjoint,1,40,k_gt_30,True,0.21913261219928182,0.22109993063221345,-8.88035888671875,-7.394641304016112,1.4857175827026374,0.0019673184329316307
immune,seed44,source_disjoint,2,40,k_gt_30,True,0.24536880921045912,0.24717880076668908,-13.019815158843993,-11.075945997238158,1.9438691616058357,0.0018099915562299618
immune,seed44,source_disjoint,3,40,k_gt_30,True,0.1802680391454652,0.1811982168611832,-10.999139642715456,-12.6175573348999,-1.618417692184444,0.0009301777157180169
immune,seed44,source_disjoint,4,40,k_gt_30,True,0.29382386323385834,0.2949005355763774,-13.109196376800536,-11.433465480804443,1.675730895996093,0.0010766723425190694
immune,seed44,source_disjoint,5,40,k_gt_30,True,0.1373305737916004,0.13915584938273562,-11.079966831207276,-11.948776531219483,-0.868809700012207,0.0018252755911352114
