domain,seed_tag,split_regime,layer,phase,n_edges,n_positive,n_unique_genes,auc_edge_reconstruction,auc_centered,mean_gene_reconstruction_error,std_gene_reconstruction_error
immune,seed42_main,source_disjoint,4,mid,1527,364,340,0.547206447894324,0.047206447894324044,0.11599391748198337,0.08818543385032951
immune,seed42_main,source_disjoint,5,mid,1527,364,340,0.5266693753366153,0.026669375336615286,0.11332759013530766,0.09030712225605207
immune,seed42_main,source_disjoint,6,mid,1527,364,340,0.5236268460688065,0.023626846068806495,0.10832208028660621,0.0894259931588112
immune,seed42_main,source_disjoint,7,mid,1527,364,340,0.5526631579941984,0.052663157994198406,0.10673083856734314,0.08817781942939351
immune,seed42_main,source_disjoint,8,late,1527,364,340,0.5049866298791492,0.004986629879149218,0.10174160353368598,0.08758342060172288
immune,seed42_main,source_disjoint,9,late,1527,364,340,0.4966574697873064,-0.003342530212693595,0.08598664827462717,0.0749163517443165
immune,seed42_main,source_disjoint,10,late,1527,364,340,0.485217276274886,-0.014782723725114022,0.06700218520124533,0.05890596611383724
immune,seed42_main,source_disjoint,11,late,1527,364,340,0.48986610981451906,-0.010133890185480943,0.05062780732886863,0.04585556380699905
immune,seed42_main,target_disjoint,0,early,1465,357,227,0.5217314362568132,0.021731436256813175,0.14366902251908986,0.11187055111509392
immune,seed42_main,target_disjoint,1,early,1465,357,227,0.5166398689439675,0.016639868943967517,0.13357293863770467,0.11186378424251762
immune,seed42_main,target_disjoint,2,early,1465,357,227,0.5047325789521585,0.004732578952158506,0.12268673426908773,0.10154944052785252
immune,seed42_main,target_disjoint,3,early,1465,357,227,0.5116999868539474,0.011699986853947353,0.12045234142486834,0.10131592683261564
immune,seed42_main,target_disjoint,4,mid,1465,357,227,0.4984123613344254,-0.0015876386655745978,0.11026056251517745,0.09312492820875645
immune,seed42_main,target_disjoint,5,mid,1465,357,227,0.4864418691664391,-0.013558130833560889,0.10489517647507433,0.08875908687473709
immune,seed42_main,target_disjoint,6,mid,1465,357,227,0.4745067702171121,-0.025493229782887927,0.09851881559489074,0.08781857179975316
immune,seed42_main,target_disjoint,7,mid,1465,357,227,0.46863655209376165,-0.03136344790623835,0.0964007796371607,0.08683514244425657
immune,seed42_main,target_disjoint,8,late,1465,357,227,0.460887965294421,-0.039112034705579,0.08835762600791072,0.08197155514852748
immune,seed42_main,target_disjoint,9,late,1465,357,227,0.473500591572369,-0.026499408427630988,0.07590956368435398,0.07614906265631194
immune,seed42_main,target_disjoint,10,late,1465,357,227,0.48042249390731023,-0.019577506092689767,0.05614376857504932,0.056100381678563266
immune,seed42_main,target_disjoint,11,late,1465,357,227,0.484813781108111,-0.01518621889188898,0.040744700123311106,0.04236679038637308
immune,seed43,source_disjoint,0,early,1479,364,339,0.5170785492534371,0.017078549253437103,0.135149692388051,0.10013887072405879
immune,seed43,source_disjoint,1,early,1479,364,339,0.5257785936037057,0.025778593603705713,0.12582789488220597,0.09304286894845898
immune,seed43,source_disjoint,2,early,1479,364,339,0.5522975903020746,0.05229759030207459,0.11963916975540431,0.08712405478440909
immune,seed43,source_disjoint,3,early,1479,364,339,0.5489639284482334,0.048963928448233385,0.1161115649707947,0.08358693721558699
immune,seed43,source_disjoint,4,mid,1479,364,339,0.5474535554131967,0.047453555413196735,0.10760973018748629,0.08131392073961767
immune,seed43,source_disjoint,5,mid,1479,364,339,0.5227011777460208,0.022701177746020762,0.1060589676106754,0.08233801489967281
immune,seed43,source_disjoint,6,mid,1479,364,339,0.5331776967427192,0.0331776967427192,0.0989995031850661,0.07810754335321883
immune,seed43,source_disjoint,7,mid,1479,364,339,0.49836766372640817,-0.0016323362735918279,0.0971213634315863,0.07860337896982858
immune,seed43,source_disjoint,8,late,1479,364,339,0.4821009707781008,-0.017899029221899176,0.09171959465576948,0.07536639100905122
