domain,seed_tag,split_regime,layer,n_genes_pool,n_points,pca_dim,knn_k,used_component_bridging,n_null_draws,rewire_attempts,h1_observed_euclidean,h1_observed_geodesic,h1_rewire_null_mean,h1_rewire_null_std,h1_delta_euclidean_vs_rewire,h1_z_euclidean_vs_rewire,h1_delta_geodesic_vs_rewire,h1_z_geodesic_vs_rewire,h1_delta_shift_geodesic_minus_euclidean,h1_p_perm_euclidean_vs_rewire,h1_p_perm_geodesic_vs_rewire,distortion_observed,distortion_rewire_null_mean,distortion_rewire_null_std,distortion_delta_observed_minus_null,distortion_z_observed_minus_null,distortion_p_lower
immune,seed43,target_disjoint,2,2471,160,14,30,True,6,6,5.482211112976074,5.482211112976074,200.36218420664468,22.52167043468063,-194.8799730936686,-8.652998171260165,-194.8799730936686,-8.652998171260165,0.0,1.0,1.0,1.4591042489124826,1.4172597670020008,0.007045229094454283,0.041844481910481734,5.939406002285149,1.0
immune,seed44,target_disjoint,2,2471,160,14,29,False,6,6,0.6626482009887695,0.6626482009887695,13.989005247751871,10.957925538438994,-13.326357046763102,-1.2161386750439045,-13.326357046763102,-1.2161386750439045,0.0,1.0,1.0,1.3908594401534156,1.5200107958774345,0.003696868745500748,-0.12915135572401892,-34.935327619049,0.14285714285714285
immune,seed42_main,target_disjoint,3,2471,160,14,25,False,6,6,1.9782781600952148,1.9782795823476036,5.724150021870931,7.031972072418978,-3.745871861775716,-0.5326915156468269,-3.745870439523327,-0.5326913133917023,1.4222523887497118e-06,0.7142857142857143,0.7142857142857143,1.5128045802449468,1.5501705519173017,0.005738771123472148,-0.03736597167235489,-6.511143998822389,0.14285714285714285
immune,seed43,target_disjoint,3,2471,160,14,30,True,6,6,3.925426959991455,3.925426959991455,147.1756238937378,28.025570036754736,-143.25019693374634,-5.111410641809118,-143.25019693374634,-5.111410641809118,0.0,1.0,1.0,1.4585346907457142,1.1529511290605992,0.01657680736238981,0.305583561685115,18.43440275140276,1.0
immune,seed44,target_disjoint,3,2471,160,14,30,True,6,6,0.5711803436279297,0.5711803436279297,32.99391063054403,18.324953235149078,-32.4227302869161,-1.7693213111702117,-32.4227302869161,-1.7693213111702117,0.0,1.0,1.0,1.3103235427882252,1.2934569386991221,0.02711047628769778,0.01686660408910301,0.6221433842758923,0.8571428571428571
immune,seed42_main,target_disjoint,4,2471,160,14,29,False,6,6,3.327075481414795,3.3270755431220707,13.787064870198568,13.645387978219437,-10.459989388783773,-0.7665585914239516,-10.459989327076498,-0.7665585869017442,6.170727573362456e-08,0.8571428571428571,0.8571428571428571,1.4006995236005269,1.5188490544433242,0.003422968384917556,-0.11814953084279733,-34.51667764350835,0.14285714285714285
immune,seed43,target_disjoint,4,2471,160,14,30,True,6,6,3.7656188011169434,3.7656188011169434,194.75964530309042,32.14264182999873,-190.99402650197348,-5.942076183600338,-190.99402650197348,-5.942076183600338,0.0,1.0,1.0,1.326654545810074,1.149193226112437,0.018043193839729056,0.17746131969763712,9.835360160656668,1.0
immune,seed44,target_disjoint,4,2471,160,14,30,True,6,6,2.340247631072998,2.3402479698692957,42.82804499988498,12.743080259692887,-40.48779736881198,-3.177237884446199,-40.487797030015685,-3.177237857859511,3.3879629768307495e-07,1.0,1.0,1.5230271949623686,1.5046060193453261,0.001906779247507584,0.018421175617042485,9.660880240982891,1.0
immune,seed42_main,target_disjoint,5,2471,160,14,30,True,6,6,3.781956195831299,3.781956195831299,39.23852872848511,15.713681820830562,-35.45657253265381,-2.256414055895864,-35.45657253265381,-2.256414055895864,0.0,1.0,1.0,1.4071112074880352,1.262540384599697,0.015332506836300367,0.14457082288833822,9.429039556468423,1.0
immune,seed43,target_disjoint,5,2471,160,14,30,True,6,6,2.8837742805480957,2.883775006757112,161.2891053157817,22.324566315839117,-158.40533103523362,-7.095561400256659,-158.4053303090246,-7.095561367727068,7.262090093718143e-07,1.0,1.0,1.50235949110816,1.4362320322312778,0.013687184732471155,0.0661274588768821,4.831340800761027,1.0
immune,seed44,target_disjoint,5,2471,160,14,30,True,6,6,3.258531093597412,3.258531093597412,145.9146570364634,15.246954109958004,-142.656125942866,-9.356368813384101,-142.656125942866,-9.356368813384101,0.0,1.0,1.0,1.37176114713733,1.3310572673690924,0.01435096510609786,0.04070387976823775,2.8363163474368664,1.0
immune,seed42_main,target_disjoint,6,2471,160,14,30,True,6,6,2.729017734527588,2.729017734527588,68.9337199529012,30.009098083877912,-66.20470221837361,-2.206154347962069,-66.20470221837361,-2.206154347962069,0.0,1.0,1.0,1.3477822987970471,1.259405963522789,0.016933961787954095,0.08837633527425814,5.218880918831609,1.0
immune,seed43,target_disjoint,6,2471,160,14,30,True,6,6,2.751986503601074,2.7519916455165045,123.03473297754924,18.539319108674608,-120.28274647394817,-6.487980802443791,-120.28274133203274,-6.4879805250918885,5.141915423223509e-06,1.0,1.0,1.5202470748156172,1.475982386523803,0.010546792521127625,0.04426468829181407,4.196980646595748,1.0
immune,seed44,target_disjoint,6,2471,160,14,30,True,6,6,3.1974587440490723,3.1974587440490723,149.53157528241476,24.434312566819674,-146.3341165383657,-5.988877981821749,-146.3341165383657,-5.988877981821749,0.0,1.0,1.0,1.3688958487840508,1.1558224134774302,0.01747127003741461,0.2130734353066206,12.195645917822766,1.0
immune,seed42_main,target_disjoint,7,2471,160,14,30,True,6,6,6.153204917907715,6.208508491516113,187.69336167971292,33.17889184067445,-181.5401567618052,-5.471555759851543,-181.4848531881968,-5.469888929811761,0.05530357360839844,1.0,1.0,1.353407769255594,1.1684801804770861,0.018740731470402686,0.1849275887785078,9.867682016728251,1.0
immune,seed43,target_disjoint,7,2471,160,14,30,True,6,6,5.461376667022705,5.461376667022705,171.695521513621,30.995236223050775,-166.2341448465983,-5.363215935667198,-166.2341448465983,-5.363215935667198,0.0,1.0,1.0,1.3377303370950209,1.1599468001338593,0.004352293151739611,0.17778353696116156,40.84823561158005,1.0
immune,seed44,target_disjoint,7,2471,160,14,28,False,6,6,4.140896320343018,4.1408985733384895,29.713046709696453,18.517466663725486,-25.572150389353435,-1.3809745605248822,-25.572148136357963,-1.380974438856216,2.252995471963004e-06,1.0,1.0,1.7366217849263097,1.5180281547101213,0.009685246562713672,0.21859363021618838,22.569751449382828,1.0
immune,seed42_main,target_disjoint,8,2471,160,14,30,True,6,6,5.089083671569824,5.089085526031127,180.75528486569723,29.177330908167008,-175.6662011941274,-6.020639850197407,-175.6661993396661,-6.020639786639115,1.8544613169524382e-06,1.0,1.0,1.465966647303053,1.4309461115934443,0.0045579359358606224,0.035020535709608724,7.683418222414742,1.0
immune,seed43,target_disjoint,8,2471,160,14,30,True,6,6,1.4308619499206543,1.430864225850435,54.776390393575035,24.845168556369128,-53.34552844365438,-2.1471187977846093,-53.3455261677246,-2.1471187061800876,2.275929780637398e-06,1.0,1.0,1.5090625333068364,1.5117068753418763,0.012535142305891697,-0.002644342035039937,-0.21095427236137448,0.5714285714285714
immune,seed44,target_disjoint,8,2471,160,14,30,True,6,6,5.825634479522705,5.825634479522705,121.18988728523254,33.57927447772963,-115.36425280570984,-3.435579076575519,-115.36425280570984,-3.435579076575519,0.0,1.0,1.0,1.3154758923904548,1.1994488128309186,0.022010343335254704,0.11602707955953617,5.271479527636999,1.0
immune,seed42_main,target_disjoint,9,2471,160,14,30,True,6,6,2.029273509979248,2.0292757859090287,47.30081653594971,13.242660752800466,-45.27154302597046,-3.4186138169384224,-45.27154075004068,-3.418613645074941,2.275929780637398e-06,1.0,1.0,1.4907519788569012,1.5326514657693642,0.022173110181462223,-0.041899486912462924,-1.889653038293196,0.14285714285714285
immune,seed43,target_disjoint,9,2471,160,14,30,True,6,6,5.1414103507995605,5.1414103507995605,169.08483831087747,20.196544509272595,-163.9434279600779,-8.117399878810513,-163.9434279600779,-8.117399878810513,0.0,1.0,1.0,1.4465826791335925,1.4386162304393528,0.005841962808681158,0.00796644869423968,1.3636593712548404,0.8571428571428571
immune,seed44,target_disjoint,9,2471,160,14,28,False,6,6,1.3143033981323242,1.3143033981323242,5.369553724924724,7.409071259081596,-4.055250326792399,-0.5473358514772524,-4.055250326792399,-0.5473358514772524,0.0,0.5714285714285714,0.5714285714285714,1.0,1.354139468114348,0.03447360871230753,-0.35413946811434793,-10.272770129665751,0.14285714285714285
immune,seed42_main,target_disjoint,10,2471,160,14,30,True,6,6,4.8004374504089355,4.8004410189291775,144.950385649999,21.176437173562917,-140.14994819959006,-6.6182024409629125,-140.14994463106981,-6.6182022724491905,3.5685202419699635e-06,1.0,1.0,1.4149570288009512,1.4359728986973417,0.006409301849711356,-0.021015869896390482,-3.278963467506756,0.14285714285714285
immune,seed43,target_disjoint,10,2471,160,14,30,True,6,6,5.641734600067139,5.641734684360834,106.32087691624959,24.186493645145966,-100.67914231618245,-4.162618351760356,-100.67914223188876,-4.162618348275201,8.429368847373553e-08,1.0,1.0,1.442098963193181,1.4877507275488282,0.011437596850357348,-0.045651764355647106,-3.991376944086279,0.14285714285714285
immune,seed44,target_disjoint,10,2471,160,14,29,False,6,6,5.695765018463135,5.695766456143772,9.002733627955118,8.056394622257189,-3.3069686094919835,-0.4104774857906576,-3.306967171811346,-0.41047730733854537,1.4376806376503737e-06,0.7142857142857143,0.7142857142857143,1.406563919359325,1.580341279385979,0.01836995157348073,-0.17377736002665412,-9.45986982446122,0.14285714285714285
immune,seed42_main,target_disjoint,11,2471,160,14,30,True,6,6,1.2044179439544678,1.2044189808946015,57.22617975870768,13.703399742426068,-56.02176181475321,-4.088165189928764,-56.02176077781308,-4.088165114258482,1.036940133758435e-06,1.0,1.0,1.4353410679780632,1.4953879270754893,0.014302737195410968,-0.06004685909742613,-4.198277160431571,0.14285714285714285
immune,seed43,target_disjoint,11,2471,160,14,30,True,6,6,1.5744068622589111,1.5744068622589111,32.11666226387024,22.68880143244261,-30.542255401611328,-1.3461378949966465,-30.542255401611328,-1.3461378949966465,0.0,1.0,1.0,1.3653242197493145,1.4293308845114414,0.0347182553461635,-0.06400666476212691,-1.843602516322796,0.14285714285714285
immune,seed44,target_disjoint,11,2471,160,14,30,True,6,6,3.6093475818634033,3.6093475818634033,73.94747364521027,9.992356793445591,-70.33812606334686,-7.039192806090092,-70.33812606334686,-7.039192806090092,0.0,1.0,1.0,1.260553203815073,1.2395576555904964,0.02961601531941007,0.02099554822457672,0.7089254678326344,0.7142857142857143
