domain,seed_tag,split_regime,layer,perm_idx,null_interaction_coef_mean
external_lung,seed42_main,target_disjoint,0,56,-0.08349579530178251
external_lung,seed42_main,target_disjoint,0,57,-0.07311910876985359
external_lung,seed42_main,target_disjoint,0,58,-0.2197401860190823
external_lung,seed42_main,target_disjoint,0,59,-0.12994229132054272
external_lung,seed42_main,target_disjoint,0,60,-0.027697070517189337
external_lung,seed42_main,target_disjoint,0,61,-0.09474853944212058
external_lung,seed42_main,target_disjoint,0,62,-0.03236550981710409
external_lung,seed42_main,target_disjoint,0,63,-0.19628468476432082
external_lung,seed42_main,target_disjoint,0,64,-0.013909739297530976
external_lung,seed42_main,target_disjoint,0,65,-0.03515063772290366
external_lung,seed42_main,target_disjoint,0,66,-0.2937688698290974
external_lung,seed42_main,target_disjoint,0,67,0.0338770661643204
external_lung,seed42_main,target_disjoint,0,68,-0.1021532792405138
external_lung,seed42_main,target_disjoint,0,69,-0.0012241072463453906
external_lung,seed42_main,target_disjoint,0,70,-0.05186719768206666
external_lung,seed42_main,target_disjoint,0,71,-0.14976944929523434
external_lung,seed42_main,target_disjoint,0,72,0.11585528441513955
external_lung,seed42_main,target_disjoint,0,73,0.1355899022044655
external_lung,seed42_main,target_disjoint,0,74,0.12355070391141591
external_lung,seed42_main,target_disjoint,0,75,0.06411697730471068
external_lung,seed42_main,target_disjoint,0,76,-0.016029264219218537
external_lung,seed42_main,target_disjoint,0,77,-0.17692396119895704
external_lung,seed42_main,target_disjoint,0,78,-0.20443655416320708
