domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,knn_k,used_component_bridging,best_diffusion_t,best_diffusion_auc,best_baseline_auc,delta_best_diffusion_minus_baseline,p_random_label_upper,p_coexp_degree_matched_upper,null_random_mean,null_matched_mean,coexpression_abs_mean,coexpression_missing_fraction,auc_diffusion_t1,auc_diffusion_t2,auc_diffusion_t4,auc_diffusion_t8
lung,seed42_main,target_disjoint,11,1612,864,279,24,24,True,8,0.5205950435729847,0.5116823876015052,0.0089126559714795,0.256198347107438,0.24793388429752067,0.004558832555539049,0.004512464050224461,0.04710140524993395,0.0,0.5136753565062389,0.5089869281045751,0.5173046333432363,0.5205950435729847
lung,seed43,source_disjoint,0,1283,526,278,24,24,True,1,0.5592417537708887,0.5420699579589234,0.017171795811965263,0.19834710743801653,0.7768595041322314,0.004701336323590713,0.023900963211127897,0.04963164866203462,0.0,0.5592417537708887,0.557247690754479,0.5530787428864188,0.5537543133541948
lung,seed43,source_disjoint,3,1283,526,278,24,24,True,8,0.5383631103364792,0.5450710981410511,-0.0067079878045719354,0.9256198347107438,0.256198347107438,0.005532740053543359,-0.011286714785366166,0.04963164866203462,0.0,0.5195350367419924,0.5378595717536203,0.5363577459553671,0.5383631103364792
lung,seed43,source_disjoint,7,1283,526,278,24,24,True,8,0.5444156189883018,0.5492576259097599,-0.004842006921458086,0.9090909090909091,0.3884297520661157,0.005920157114083504,-0.006590076899508272,0.04963164866203462,0.0,0.5406058033763456,0.5403245249659704,0.5440326282956035,0.5444156189883018
lung,seed43,source_disjoint,11,1283,526,278,24,24,True,2,0.5618749717465883,0.5379524940856191,0.02392247766096922,0.0743801652892562,0.5950413223140496,0.0034011352430128286,0.026140255377356755,0.04963164866203462,0.0,0.5605112737391444,0.5618749717465883,0.55698775936632,0.5585059093580322
lung,seed43,target_disjoint,0,1550,816,280,24,24,True,1,0.5433980472297911,0.5300261794090934,0.01337186782069777,0.1487603305785124,0.1652892561983471,0.00495794125438549,0.004356020763209913,0.0433976534244401,0.0,0.5433980472297911,0.5185050689213015,0.5185033993161297,0.5204426457231394
lung,seed43,target_disjoint,3,1550,816,280,24,24,True,1,0.5243678874819683,0.5260308142330502,-0.0016629267510819279,0.8181818181818182,0.34710743801652894,0.005339926047621588,-0.003775206864080783,0.0433976534244401,0.0,0.5243678874819683,0.5150155941123044,0.5179758040818507,0.5195218584709088
lung,seed43,target_disjoint,7,1550,816,280,24,24,True,4,0.5233469239194315,0.5268689560292782,-0.0035220321098466956,0.71900826446281,0.47107438016528924,0.004296019327349475,-0.004147194896350912,0.0433976534244401,0.0,0.5189842456055992,0.5225905927766202,0.5233469239194315,0.5222908986482877
lung,seed43,target_disjoint,11,1550,816,280,24,24,True,1,0.533389599027622,0.5161692912859966,0.017220307741625307,0.08264462809917356,0.03305785123966942,0.005101687302986576,0.0035976582674395784,0.0433976534244401,0.0,0.533389599027622,0.5137383461559011,0.5114059077309397,0.5110602994603837
lung,seed44,source_disjoint,0,1330,540,277,24,24,True,8,0.5581938584153774,0.5345886075949368,0.023605250820440626,0.10743801652892562,0.628099173553719,0.004075421940928277,0.02712801804969527,0.04724170180065474,0.0,0.5404195968120018,0.5555696202531646,0.5576617440225035,0.5581938584153774
lung,seed44,source_disjoint,3,1330,540,277,24,24,True,8,0.5532243319268635,0.5351019690576653,0.018122362869198216,0.17355371900826447,0.8347107438016529,0.005296745585247705,0.027917975464916398,0.04724170180065474,0.0,0.5505461790904829,0.5496894045944679,0.5497855133614628,0.5532243319268635
lung,seed44,source_disjoint,7,1330,540,277,24,24,True,1,0.5566092358180966,0.5439252226910455,0.012684013127051141,0.3140495867768595,0.8264462809917356,0.005179686279106114,0.022560683309892176,0.04724170180065474,0.0,0.5566092358180966,0.5479477262072199,0.5506809657759025,0.5520135958743554
lung,seed44,source_disjoint,11,1330,540,277,24,24,True,1,0.5620194561650258,0.5463420065635255,0.015677449601500304,0.23140495867768596,0.8925619834710744,0.005027572667604318,0.026074464760118782,0.04724170180065474,0.0,0.5620194561650258,0.5418424753867792,0.5449343647444913,0.547543366150961
lung,seed44,target_disjoint,0,1538,794,279,24,24,True,1,0.5219810541426289,0.528203800005417,-0.006222745862788148,0.8099173553719008,0.8347107438016529,0.0030482384121954076,0.0031149207655083414,0.04516219350097873,0.0,0.5219810541426289,0.5105427805314049,0.5078309092386447,0.5098555022886704
lung,seed44,target_disjoint,3,1538,794,279,24,24,True,1,0.5126418569377861,0.5236416944286449,-0.010999837490858866,0.8925619834710744,0.8429752066115702,0.0018366354287984309,-0.0006290316937966699,0.04516219350097873,0.0,0.5126418569377861,0.5093468148208337,0.506865164811354,0.5091013583055713
lung,seed44,target_disjoint,7,1538,794,279,24,24,True,8,0.501381327699683,0.5142220890550093,-0.012840761355326302,0.9256198347107438,0.8677685950413223,0.003807919273584139,-0.0024263306000198805,0.04516219350097873,0.0,0.49988996776902034,0.5005230762980417,0.499909435009886,0.501381327699683
lung,seed44,target_disjoint,11,1538,794,279,24,24,True,8,0.49882265512851764,0.5045705695945397,-0.005747914466022075,0.9256198347107438,0.9669421487603306,0.005214843573666292,0.005220711959318556,0.04516219350097873,0.0,0.49635370114568944,0.4820808279840741,0.49306543024295113,0.49882265512851764
