perm_idx,domain,null_cycle_return_rate,null_edge_auc
102,lung,0.026923076923076925,0.5891100178890877
103,external_lung,0.03461538461538462,0.5796239364350818
103,immune,0.03461538461538462,0.5980580693815988
103,lung,0.03461538461538462,0.5892150485173742
104,external_lung,0.038461538461538464,0.5795535733616228
104,immune,0.038461538461538464,0.5980712098359157
104,lung,0.038461538461538464,0.5891710034151895
105,external_lung,0.023076923076923078,0.5796374677953625
105,immune,0.023076923076923078,0.5980666392431098
105,lung,0.023076923076923078,0.5890863012956036
106,external_lung,0.026923076923076925,0.5793560155015263
106,immune,0.026923076923076925,0.5980689245395128
106,lung,0.026923076923076925,0.5891710034151895
107,external_lung,0.015384615384615385,0.5795887548983524
107,immune,0.015384615384615385,0.5980626399744047
107,lung,0.015384615384615385,0.5891811676695398
108,external_lung,0.03461538461538462,0.5798025503907857
108,immune,0.03461538461538462,0.598092348827643
108,lung,0.03461538461538462,0.5891032417195208
109,external_lung,0.023076923076923078,0.5794020221264803
109,immune,0.023076923076923078,0.5980860642625347
109,lung,0.023076923076923078,0.5892116604325907
110,external_lung,0.019230769230769232,0.5797403061334949
110,immune,0.019230769230769232,0.5980660679190091
110,lung,0.019230769230769232,0.5889914349216675
111,external_lung,0.011538461538461539,0.5796509991556431
111,immune,0.011538461538461539,0.5980592120298003
111,lung,0.011538461538461539,0.5892150485173742
112,external_lung,0.023076923076923078,0.5795725172660157
112,immune,0.023076923076923078,0.598059783353901
112,lung,0.023076923076923078,0.5891642272456226
113,external_lung,0.038461538461538464,0.5798891510965813
113,immune,0.038461538461538464,0.59805121349239
113,lung,0.038461538461538464,0.589269257873909
114,external_lung,0.011538461538461539,0.5791828140899348
114,immune,0.011538461538461539,0.5980912061794414
114,lung,0.011538461538461539,0.5891811676695398
115,external_lung,0.038461538461538464,0.579372253133863
115,immune,0.038461538461538464,0.5980757804287216
115,lung,0.038461538461538464,0.5891337344825718
116,external_lung,0.026923076923076925,0.5795968737145207
116,immune,0.026923076923076925,0.5980609260021025
116,lung,0.026923076923076925,0.589252317449992
117,external_lung,0.019230769230769232,0.5793884907661997
117,immune,0.019230769230769232,0.598076923076923
117,lung,0.019230769230769232,0.5890219276847184
118,external_lung,0.026923076923076925,0.5795914611704085
118,immune,0.026923076923076925,0.5980763517528224
118,lung,0.026923076923076925,0.5891540629912724
119,external_lung,0.023076923076923078,0.5797321873173267
119,immune,0.023076923076923078,0.5980717811600165
119,lung,0.023076923076923078,0.5891913319238901
120,external_lung,0.007692307692307693,0.5799108012730304
120,immune,0.007692307692307693,0.5980746377805202
120,lung,0.007692307692307693,0.5892252127717245
121,external_lung,0.015384615384615385,0.579580636082184
121,immune,0.015384615384615385,0.5980729238082179
121,lung,0.015384615384615385,0.5891337344825718
122,external_lung,0.026923076923076925,0.579626642707138
122,immune,0.026923076923076925,0.5980529274646922
122,lung,0.026923076923076925,0.5890863012956036
123,external_lung,0.026923076923076925,0.5795698109939595
123,immune,0.026923076923076925,0.5981037753096576
123,lung,0.026923076923076925,0.5890151515151515
124,external_lung,0.015384615384615385,0.5795156855528372
124,immune,0.015384615384615385,0.5980649252708077
124,lung,0.015384615384615385,0.5890456442782024
125,external_lung,0.026923076923076925,0.5796888869644288
125,immune,0.026923076923076925,0.598070638511815
125,lung,0.026923076923076925,0.5891134059738711
126,external_lung,0.023076923076923078,0.579556279633679
126,immune,0.023076923076923078,0.5980780657251246
126,lung,0.023076923076923078,0.5892252127717245
127,external_lung,0.019230769230769232,0.5799053887289181
127,immune,0.019230769230769232,0.5980752091046209
127,lung,0.019230769230769232,0.5890015991760178
128,external_lung,0.026923076923076925,0.5794994479205005
128,immune,0.026923076923076925,0.5980894922071393
128,lung,0.026923076923076925,0.589096465549954
129,external_lung,0.03461538461538462,0.5795643984498473
129,immune,0.03461538461538462,0.5980849216143334
129,lung,0.03461538461538462,0.5890625847021196
130,external_lung,0.015384615384615385,0.5797565437658316
130,immune,0.015384615384615385,0.5980540701128936
130,lung,0.015384615384615385,0.589215048517374
131,external_lung,0.015384615384615385,0.5796185238909697
131,immune,0.015384615384615385,0.5980700671877143
131,lung,0.015384615384615385,0.5892726459586926
132,external_lung,0.023076923076923078,0.579372253133863
132,immune,0.023076923076923078,0.5980946341240458
132,lung,0.023076923076923078,0.5892455412804251
133,external_lung,0.019230769230769232,0.5796104050748013
133,immune,0.019230769230769232,0.5980832076420312
133,lung,0.019230769230769232,0.5892421531956415
134,external_lung,0.019230769230769232,0.5796509991556431
134,immune,0.019230769230769232,0.5980837789661319
134,lung,0.019230769230769232,0.5890727489564699
135,external_lung,0.019230769230769232,0.5797484249496633
135,immune,0.019230769230769232,0.5980729238082179
135,lung,0.019230769230769232,0.5891845557543232
136,external_lung,0.015384615384615385,0.5798458507436836
136,immune,0.015384615384615385,0.5980415009826774
136,lung,0.015384615384615385,0.5891710034151895
137,external_lung,0.023076923076923078,0.5796320552512502
137,immune,0.023076923076923078,0.5980666392431098
137,lung,0.023076923076923078,0.5891540629912723
138,external_lung,0.007692307692307693,0.5798593821039641
138,immune,0.007692307692307693,0.5980786370492253
138,lung,0.007692307692307693,0.5890117634303682
139,external_lung,0.026923076923076925,0.5795292169131179
139,immune,0.026923076923076925,0.5980803510215276
139,lung,0.026923076923076925,0.589143898736922
140,external_lung,0.026923076923076925,0.5796807681482603
140,immune,0.026923076923076925,0.5980832076420312
140,lung,0.026923076923076925,0.5891066298043043
