domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,knn_k,used_component_bridging,coexp_missing_fraction,auc_geodesic_diffusion_base,auc_with_detour_convexity,delta_auc_incremental,gain_logloss_incremental,gain_brier_incremental,mean_detour_ratio,mean_convexity_deficit,p_delta_auc_upper,p_gain_logloss_upper,p_gain_brier_upper
immune,seed44,target_disjoint,11,1467,358,228,24,24,True,0.0,0.8016306401156611,0.8071240384663823,0.005493398350721157,0.004005771669320202,0.0014514749397832871,0.9495569189438632,0.9237517328646475,0.012345679012345678,0.012345679012345678,0.012345679012345678
lung,seed42_main,source_disjoint,0,1152,510,259,24,24,True,0.0,0.811218007452202,0.8119571192963166,0.0007391118441146816,0.001184817838827179,0.000427114652392091,0.9470486111965661,0.9242125775013774,0.2962962962962963,0.18518518518518517,0.18518518518518517
lung,seed42_main,source_disjoint,3,1152,510,259,24,24,True,0.0,0.8099321971779366,0.8121434243479323,0.0022112271699956665,0.0018122232406182492,0.001047932396752077,1.3723538053102773,0.9388672947551941,0.06172839506172839,0.16049382716049382,0.024691358024691357
lung,seed42_main,source_disjoint,7,1152,510,259,24,24,True,0.0,0.8112516034451165,0.8118685480422698,0.0006169445971533349,0.0003691432987942278,0.0002658450067428708,0.9470486111666597,0.9243011684802676,0.3333333333333333,0.6296296296296297,0.38271604938271603
lung,seed42_main,source_disjoint,11,1152,510,259,24,24,True,0.0,0.8102437236576875,0.8104697330645654,0.00022600940687789173,0.00022411454879101012,0.0001077903460904861,0.9470486111334157,0.922024174459508,0.5432098765432098,0.6666666666666666,0.5432098765432098
lung,seed42_main,target_disjoint,0,1500,831,259,24,24,True,0.0,0.8471199178327118,0.8503450918176274,0.003225173984915619,0.0039043559345930956,0.001842505567222319,0.9700000000171931,0.9420482453667915,0.012345679012345678,0.012345679012345678,0.012345679012345678
lung,seed42_main,target_disjoint,3,1500,831,259,24,24,True,0.0,0.8454560662230928,0.8465461138722054,0.00109004764911258,0.0010634441921084092,0.0007072267917762332,0.9700000000195657,0.9438415248959776,0.04938271604938271,0.13580246913580246,0.04938271604938271
lung,seed42_main,target_disjoint,7,1500,831,259,24,24,True,0.0,0.8469868097039424,0.8494906815316069,0.002503871827664539,0.003315817510418817,0.0014255900679263356,0.9700000000104395,0.9452874069259294,0.012345679012345678,0.012345679012345678,0.012345679012345678
lung,seed42_main,target_disjoint,11,1500,831,259,24,24,True,0.0,0.8443947987099304,0.8464651697398455,0.002070371029915141,0.0028287843418629,0.0011958851654551017,0.9700000000069714,0.9453402502566778,0.024691358024691357,0.024691358024691357,0.024691358024691357
lung,seed43,source_disjoint,0,1206,504,259,24,24,True,0.0,0.8237207751096638,0.825492922715145,0.001772147605481167,0.001316708704100944,0.00037616770317916437,1.420479239019539,0.9479983814432894,0.48148148148148145,0.5802469135802469,0.5802469135802469
lung,seed43,source_disjoint,3,1206,504,259,24,24,True,0.0,0.8234409623298511,0.8251989779767558,0.0017580156469046981,0.0012388682493281178,0.00028715985884369966,1.3900499452117892,0.9474876652060586,0.49382716049382713,0.5802469135802469,0.691358024691358
lung,seed43,source_disjoint,7,1206,504,259,24,24,True,0.0,0.8220814679148012,0.823650115316782,0.001568647401980816,0.0023269810846533456,0.0005839403216246764,0.9693200663529261,0.941084860219103,0.16049382716049382,0.08641975308641975,0.2345679012345679
lung,seed43,source_disjoint,11,1206,504,259,24,24,True,0.0,0.8232007190340523,0.8232939899606566,9.327092660427194e-05,0.00034889965571865966,4.931569961408311e-05,1.2877246563572653,0.9477110578021466,0.8024691358024691,0.5555555555555556,0.7654320987654321
lung,seed43,target_disjoint,0,1424,772,260,24,24,True,0.0,0.8273496853046822,0.8279675530054992,0.0006178677008169542,0.0008774444408409243,0.00030260447176261307,0.9571629213502939,0.9311345606640551,0.2345679012345679,0.20987654320987653,0.2716049382716049
lung,seed43,target_disjoint,3,1424,772,260,24,24,True,0.0,0.8272086286913125,0.8281264900346482,0.000917861343335713,0.0012215555425255653,0.0003542722647120189,0.9571629213501703,0.9321583169391745,0.12345679012345678,0.18518518518518517,0.18518518518518517
lung,seed43,target_disjoint,7,1424,772,260,24,24,True,0.0,0.8270794923551289,0.8292013016942686,0.0021218093391397463,0.002249313075383008,0.0009298703207922532,0.9571629213485535,0.9331158349251543,0.012345679012345678,0.037037037037037035,0.024691358024691357
lung,seed43,target_disjoint,11,1424,772,260,24,24,True,0.0,0.8275086223338314,0.8277172271845895,0.00020860485075813173,0.00022143836727350763,9.311636096895337e-05,0.9571629213488696,0.934571702050428,0.4691358024691358,0.5308641975308642,0.5802469135802469
lung,seed44,source_disjoint,0,1241,517,257,24,24,True,0.0,0.805547837609669,0.8061596332432115,0.0006117956335425223,0.0006400637742443038,0.0001839619097176448,0.955680902566027,0.9263136493617485,0.41975308641975306,0.41975308641975306,0.5555555555555556
lung,seed44,source_disjoint,3,1241,517,257,24,24,True,0.0,0.8055932547527704,0.8070252305587913,0.0014319758060208354,0.0020475041240749503,0.0005664943828506963,1.3868579217022003,0.9403203944868638,0.1728395061728395,0.07407407407407407,0.08641975308641975
lung,seed44,source_disjoint,7,1241,517,257,24,24,True,0.0,0.806656550220674,0.8068676063562628,0.0002110561355888052,0.0005081633589237855,8.773662511818436e-05,1.389532732400038,0.9414510395988805,0.8024691358024691,0.5432098765432098,0.7037037037037037
lung,seed44,source_disjoint,11,1241,517,257,24,24,True,0.0,0.8069744702223838,0.8070866772818107,0.00011220705942693865,0.00025691154182583276,5.878897807157224e-05,1.254118733297326,0.9441927059052717,0.9382716049382716,0.8765432098765432,0.8271604938271605
lung,seed44,target_disjoint,0,1428,750,259,24,24,True,0.0,0.8411386430678465,0.8414768928220255,0.0003382497541790652,0.00032679959314618756,0.00013321126710633124,1.3888923846307613,0.9455635612869095,0.7283950617283951,0.7654320987654321,0.8148148148148148
lung,seed44,target_disjoint,3,1428,750,259,24,24,True,0.0,0.839882005899705,0.8399528023598819,7.07964601769362e-05,0.000235695152391191,7.91087111263189e-05,0.9600840336227183,0.9342546522035465,0.8888888888888888,0.691358024691358,0.6666666666666666
lung,seed44,target_disjoint,7,1428,750,259,24,24,True,0.0,0.8397581120943953,0.8413903638151427,0.0016322517207473242,0.0021402220147631046,0.0009485603338579285,0.9600840336216261,0.9345992486532527,0.024691358024691357,0.04938271604938271,0.024691358024691357
lung,seed44,target_disjoint,11,1428,750,259,24,24,True,0.0,0.8410049164208456,0.841282202556539,0.00027728613569333316,0.0009190400446717484,0.00039931023253028664,1.2872580353154401,0.9480148593480691,0.4074074074074074,0.1728395061728395,0.20987654320987653
