domain,seed_tag,layer,sample_size,pca_dim,bootstrap_idx,h1_observed,h1_null_mean,h1_null_std,h1_delta_observed_minus_null,h1_delta_z,p_h1_upper
immune,seed42_main,7,120,14,1,7.7226715087890625,3.512107421954473,1.3948833926886617,4.210564086834589,3.0185778294342414,0.04
immune,seed42_main,7,120,14,2,7.131052732467651,5.757554034392039,1.700694557825814,1.373498698075612,0.8076104500645295,0.24
immune,seed42_main,7,120,14,3,7.659626007080078,4.675188546379407,0.8923493629784416,2.984437460700671,3.3444719984949445,0.04
immune,seed42_main,7,180,10,0,12.06280255317688,7.608734391629696,1.4335158774194932,4.454068161547184,3.1070937047854446,0.04
immune,seed42_main,7,180,10,1,15.821015357971191,9.124854239324728,1.3388515946284798,6.696161118646463,5.001421472335155,0.04
immune,seed42_main,7,180,10,2,9.949153423309326,7.357640445232391,1.6351370944577344,2.591512978076935,1.584890334441025,0.12
immune,seed42_main,7,180,10,3,11.180305004119873,5.262712652484576,1.1233004201201817,5.917592351635297,5.268040713217337,0.04
immune,seed42_main,7,180,14,0,14.458422660827637,7.503295610348384,1.3950335000456642,6.955127050479253,4.985634427607619,0.04
immune,seed42_main,7,180,14,1,13.478366136550903,6.8659848272800446,1.5687589402130737,6.612381309270859,4.21503975885403,0.04
immune,seed42_main,7,180,14,2,12.519393920898438,8.24835201104482,2.0186923261562857,4.271041909853617,2.115746838880691,0.08
immune,seed42_main,7,180,14,3,12.227242231369019,6.182149976491928,1.562308245465941,6.0450922548770905,3.8693338965287705,0.04
immune,seed42_main,8,120,10,0,8.186223030090332,3.5076733430226645,0.7513304864210598,4.678549687067667,6.227019621054882,0.04
immune,seed42_main,8,120,10,1,7.84266996383667,4.465266212821007,0.9823824380322795,3.377403751015663,3.4379724400841893,0.04
immune,seed42_main,8,120,10,2,7.187870502471924,4.704935654997826,1.0251218856947506,2.482934847474098,2.4220874412112114,0.04
immune,seed42_main,8,120,10,3,5.104674339294434,3.4152062932650247,0.9971867409872787,1.689468046029409,1.694234364430571,0.08
immune,seed42_main,8,120,14,0,5.389460563659668,3.9199091444412866,1.3396553249578185,1.4695514192183814,1.0969623236243178,0.12
immune,seed42_main,8,120,14,1,7.062290191650391,4.378832990924518,1.0155814861363586,2.683457200725873,2.6422864484192536,0.04
immune,seed42_main,8,120,14,2,8.699452638626099,4.183816532293956,1.5481406513272977,4.515636106332143,2.9168125645068823,0.04
immune,seed42_main,8,120,14,3,11.870640754699707,5.451705465714137,1.3049913492894154,6.41893528898557,4.9187569615400175,0.04
immune,seed42_main,8,180,10,0,11.986955642700195,5.546108332773049,1.5185246686597218,6.440847309927146,4.241516413013192,0.04
immune,seed42_main,8,180,10,1,12.454924821853638,6.974955181280772,1.7550068941892045,5.4799696405728655,3.1224775558400744,0.04
immune,seed42_main,8,180,10,2,15.818422555923462,8.104575944443544,1.4459594723956042,7.713846611479918,5.334759897084242,0.04
immune,seed42_main,8,180,10,3,19.20987629890442,8.306332441667715,1.3988642273567746,10.903543857236704,7.794569076975352,0.04
immune,seed42_main,8,180,14,0,15.386452913284302,9.704720452427864,1.5046775373660277,5.681732460856438,3.7760465720957015,0.04
immune,seed42_main,8,180,14,1,12.339582204818726,8.164289727807045,2.1248904356541196,4.175292477011681,1.964944829619616,0.04
immune,seed42_main,8,180,14,2,13.146825551986694,6.9165217479070025,1.4559890103911808,6.230303804079692,4.279087105284337,0.04
immune,seed42_main,8,180,14,3,12.27035117149353,7.4101090133190155,1.5407105408008928,4.860242158174515,3.1545459230086887,0.04
immune,seed42_main,9,120,10,0,7.039512395858765,3.3948841989040375,0.9056535876488835,3.644628196954727,4.02430713314131,0.04
immune,seed42_main,9,120,10,1,7.617238759994507,4.670567800601323,1.237030562787313,2.9466709593931837,2.3820518632713545,0.04
immune,seed42_main,9,120,10,2,9.511585474014282,4.717119604349136,1.090828490489011,4.794465869665146,4.395251780708961,0.04
immune,seed42_main,9,120,10,3,4.51611852645874,2.1260145430763564,0.7301947109686452,2.390103983382384,3.273241978072577,0.04
immune,seed42_main,9,120,14,0,8.172023296356201,2.9587656930088997,0.9298715180487597,5.2132576033473015,5.606427873692015,0.04
immune,seed42_main,9,120,14,1,10.348930835723877,5.104942709207535,1.3640919037744939,5.243988126516342,3.8443070501054377,0.04
immune,seed42_main,9,120,14,2,6.127843379974365,3.13082746664683,0.9872571698988344,2.997015913327535,3.0356993108482,0.04
immune,seed42_main,9,120,14,3,7.916821002960205,4.587331131100655,1.3302357035865622,3.3294898718595505,2.5029322701079937,0.04
